date,store,category,units_sold,revenue,revenue_rolling_7,revenue_rolling_30
2021-01-01,Store_A,T-Shirts,195,14796.49,,
2021-01-01,Store_E,Accessories,197,3882.92,,
2021-01-01,Store_E,Shoes,212,12093.74,,
2021-01-01,Store_E,Dresses,209,12647.62,,
2021-01-01,Store_E,Jackets,220,4567.97,,
2021-01-01,Store_E,Jeans,193,13004.37,,
2021-01-01,Store_E,T-Shirts,193,7331.76,9760.695714285714,
2021-01-01,Store_D,Accessories,180,11897.43,9346.544285714286,
2021-01-01,Store_D,Dresses,214,16180.68,11103.367142857142,
2021-01-01,Store_D,Jackets,212,2225.36,9693.598571428573,
2021-01-01,Store_D,Jeans,214,21147.44,10907.858571428571,
2021-01-01,Store_D,T-Shirts,191,4332.49,10874.218571428572,
2021-01-01,Store_C,Accessories,190,8000.48,10159.377142857144,
2021-01-01,Store_C,Shoes,166,7466.84,10178.674285714285,
2021-01-01,Store_C,Dresses,225,6218.65,9367.42,
2021-01-01,Store_D,Shoes,212,8959.53,8335.827142857142,
2021-01-01,Store_C,Jeans,201,5354.02,8782.778571428571,
2021-01-01,Store_C,Jackets,228,14548.91,7840.131428571428,
2021-01-01,Store_A,Jeans,204,4904.06,7921.784285714287,
2021-01-01,Store_A,Jackets,204,2417.93,7124.277142857143,
2021-01-01,Store_A,Dresses,187,4956.7,6765.685714285714,
2021-01-01,Store_A,Shoes,192,9384.01,7217.88,
2021-01-01,Store_B,T-Shirts,191,9749.84,7330.7814285714285,
2021-01-01,Store_A,Accessories,191,4307.9,7181.335714285714,
2021-01-01,Store_B,Jackets,204,13194.52,6987.851428571429,
2021-01-01,Store_B,Dresses,185,17648.94,8808.548571428571,
2021-01-01,Store_B,Shoes,192,13743.55,10426.494285714285,
2021-01-01,Store_B,Accessories,198,10804.05,11261.83,
2021-01-01,Store_C,T-Shirts,189,7192.21,10948.715714285716,
2021-01-01,Store_B,Jeans,213,11987.87,11268.434285714286,9498.276000000002
2021-01-02,Store_C,Accessories,205,11935.04,12358.025714285714,9402.894333333334
2021-01-02,Store_D,Dresses,188,4830.28,11163.134285714286,9434.473
2021-01-02,Store_D,T-Shirts,177,6880.03,9624.718571428572,9260.682666666666
2021-01-02,Store_D,Jeans,186,11751.55,9340.147142857142,9230.813666666665
2021-01-02,Store_D,Jackets,207,11610.29,9455.324285714287,9465.557666666666
2021-01-02,Store_D,Shoes,208,19615.59,11230.092857142856,9685.931666666667
2021-01-02,Store_E,Accessories,221,17721.72,12049.214285714286,10032.263666666668
2021-01-02,Store_E,T-Shirts,225,7473.32,11411.825714285715,9884.793333333333
2021-01-02,Store_E,Jeans,207,12413.39,12495.127142857144,9759.217
2021-01-02,Store_E,Jackets,201,3694.23,12040.012857142856,9808.179333333332
2021-01-02,Store_E,Dresses,221,14802.39,12475.847142857141,9596.677666666665
2021-01-02,Store_E,Shoes,193,14539.85,12894.355714285715,9936.923
2021-01-02,Store_C,Shoes,188,8102.89,11249.684285714286,9940.336666666666
2021-01-02,Store_D,Accessories,182,3678.7,9243.538571428571,9814.065333333332
2021-01-02,Store_C,Dresses,189,14845.15,10296.657142857144,10101.615333333333
2021-01-02,Store_B,Jeans,197,17230.75,10984.851428571428,10377.322666666667
2021-01-02,Store_C,Jeans,200,7015.64,11459.338571428572,10432.710000000001
2021-01-02,Store_C,Jackets,223,5138.04,10078.717142857144,10119.014333333333
2021-01-02,Store_A,T-Shirts,192,17602.75,10516.274285714286,10542.304
2021-01-02,Store_A,Jeans,189,14741.92,11464.707142857142,10953.103666666666
2021-01-02,Store_A,Jackets,188,6782.59,11908.119999999999,11013.966666666667
2021-01-02,Store_A,Dresses,214,18924.33,12490.860000000002,11331.977333333332
2021-01-02,Store_A,Accessories,202,18310.94,12645.172857142858,11617.347333333333
2021-01-02,Store_A,Shoes,214,19330.69,14404.465714285714,12118.106999999998
2021-01-02,Store_B,Jackets,197,4095.21,14255.490000000002,11814.796666666667
2021-01-02,Store_B,Dresses,193,7544.03,12818.53,11477.966333333336
2021-01-02,Store_B,Shoes,201,8588.06,11939.407142857144,11306.116666666667
2021-01-02,Store_B,Accessories,189,7007.94,11971.600000000002,11179.579666666667
2021-01-02,Store_C,T-Shirts,191,12388.41,11037.897142857142,11352.786333333333
2021-01-02,Store_B,T-Shirts,192,5858.72,9259.00857142857,11148.481333333331
2021-01-03,Store_C,Accessories,202,14673.82,8593.74142857143,11239.774
2021-01-03,Store_D,Dresses,191,15835.85,10270.975714285714,11606.626333333335
2021-01-03,Store_D,T-Shirts,203,13266.18,11088.425714285713,11819.498
2021-01-03,Store_D,Jeans,201,15410.5,12063.06,11941.463
2021-01-03,Store_D,Jackets,208,8809.67,12320.449999999999,11848.109
2021-01-03,Store_D,Shoes,200,16369.31,12889.15,11739.899666666666
2021-01-03,Store_E,Accessories,201,5914.2,12897.075714285715,11346.315666666667
2021-01-03,Store_E,T-Shirts,220,9636.54,12177.464285714286,11418.423
2021-01-03,Store_E,Jeans,178,2355.8,10251.742857142857,11083.170000000002
2021-01-03,Store_E,Jackets,199,7121.95,9373.995714285715,11197.427333333333
2021-01-03,Store_E,Dresses,204,2725.71,7561.882857142858,10794.871333333334
2021-01-03,Store_E,Shoes,215,4608.62,6961.732857142857,10463.830333333333
2021-01-03,Store_C,Shoes,217,5480.19,5406.144285714286,10376.407000000001
2021-01-03,Store_D,Accessories,206,16814.0,6963.2585714285715,10814.250333333333
2021-01-03,Store_C,Dresses,217,9690.96,6971.032857142856,10642.444
2021-01-03,Store_B,Jeans,203,8748.17,7884.228571428571,10359.691333333332
2021-01-03,Store_C,Jeans,195,18241.99,9472.805714285714,10733.902999999998
2021-01-03,Store_A,Jeans,221,2392.93,9425.265714285715,10642.399333333333
2021-01-03,Store_A,Jackets,179,1871.54,9034.254285714285,10118.025666666666
2021-01-03,Store_A,Dresses,184,13297.78,10151.052857142857,10069.887666666667
2021-01-03,Store_A,Shoes,206,15263.8,9929.595714285713,10352.594666666666
2021-01-03,Store_A,Accessories,188,14510.63,10618.119999999999,10205.471333333333
2021-01-03,Store_B,T-Shirts,206,14252.14,11404.401428571427,10070.178000000002
2021-01-03,Store_A,T-Shirts,206,5056.6,9520.774285714286,9594.375
