Date,Store,Category,Units_Sold,Revenue
2021-01-01,Store_A,T-Shirts,195,14796.49
2021-01-01,Store_A,Jeans,204,4904.06
2021-01-01,Store_A,Jackets,204,2417.93
2021-01-01,Store_A,Dresses,187,4956.7
2021-01-01,Store_A,Shoes,192,9384.01
2021-01-01,Store_A,Accessories,191,4307.9
2021-01-01,Store_B,T-Shirts,191,9749.84
2021-01-01,Store_B,Jeans,213,11987.87
2021-01-01,Store_B,Jackets,204,13194.52
2021-01-01,Store_B,Dresses,185,17648.94
2021-01-01,Store_B,Shoes,192,13743.55
2021-01-01,Store_B,Accessories,198,10804.05
2021-01-01,Store_C,T-Shirts,189,7192.21
2021-01-01,Store_C,Jeans,201,5354.02
2021-01-01,Store_C,Jackets,228,14548.91
2021-01-01,Store_C,Dresses,225,6218.65
2021-01-01,Store_C,Shoes,166,7466.84
2021-01-01,Store_C,Accessories,190,8000.48
2021-01-01,Store_D,T-Shirts,191,4332.49
2021-01-01,Store_D,Jeans,214,21147.44
2021-01-01,Store_D,Jackets,212,2225.36
2021-01-01,Store_D,Dresses,214,16180.68
2021-01-01,Store_D,Shoes,212,8959.53
2021-01-01,Store_D,Accessories,180,11897.43
2021-01-01,Store_E,T-Shirts,193,7331.76
2021-01-01,Store_E,Jeans,193,13004.37
2021-01-01,Store_E,Jackets,220,4567.97
2021-01-01,Store_E,Dresses,209,12647.62
2021-01-01,Store_E,Shoes,212,12093.74
2021-01-01,Store_E,Accessories,197,3882.92
2021-01-02,Store_A,T-Shirts,192,17602.75
2021-01-02,Store_A,Jeans,189,14741.92
2021-01-02,Store_A,Jackets,188,6782.59
2021-01-02,Store_A,Dresses,214,18924.33
2021-01-02,Store_A,Shoes,214,19330.69
2021-01-02,Store_A,Accessories,202,18310.94
2021-01-02,Store_B,T-Shirts,192,5858.72
2021-01-02,Store_B,Jeans,197,17230.75
2021-01-02,Store_B,Jackets,197,4095.21
2021-01-02,Store_B,Dresses,193,7544.03
2021-01-02,Store_B,Shoes,201,8588.06
2021-01-02,Store_B,Accessories,189,7007.94
2021-01-02,Store_C,T-Shirts,191,12388.41
